date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC
2020-03-12,5.38,5.69,5.2,5.35,89299008.0,5.98,6.485,7.108,-1.73,-1.88,30.4472,17.5245,19.1585,-95.2532,-35.0728
2020-03-11,6.06,6.11,5.88,5.9,97775848.0,6.258,6.647,7.2525,-1.07,-1.67,30.8913,24.1116,23.3719,-96.0937,-27.1605
2020-03-10,6.26,6.29,5.8,6.26,101774354.0,6.494,6.778,7.3625,-0.94,-1.63,38.216,30.33,26.9248,-82.0313,-22.3325
2020-03-09,5.97,6.14,5.87,5.9,103747117.0,6.636,6.875,7.4525,-1.06,-2.13,33.439,11.2576,15.0933,-98.7952,-27.2503
2020-03-06,6.6,6.68,6.4,6.49,109864377.0,6.896,7.042,7.563,-0.48,-1.51,37.832,17.9798,19.9446,-95.4082,-21.3333
2020-03-05,6.96,6.97,6.71,6.74,78016662.0,6.99,7.182,7.651,-0.47,-1.32,36.4634,22.7838,22.7897,-95.9064,-18.8929
2020-03-04,7.09,7.09,6.92,7.08,70559822.0,7.036,7.311,7.7295,-0.15,-1.02,35.8233,32.6797,27.7194,-77.3481,-22.8758
2020-03-03,7.29,7.34,6.89,6.97,97397798.0,7.062,7.403,7.8345,-0.6,-1.28,30.8829,23.7509,22.7647,-88.3268,-22.3831
2020-03-02,7.11,7.23,6.88,7.2,96728883.0,7.114,7.512,7.935,-0.69,-1.04,31.9897,30.8895,26.208,-79.3774,-18.3673
2020-02-28,6.84,6.96,6.67,6.96,116484975.0,7.188,7.602,8.016,-1.07,-1.14,23.6497,6.4356,13.7258,-88.716,-21.267
2020-02-27,7.13,7.28,6.92,6.97,118585243.0,7.374,7.731,8.11,-1.03,-1.09,13.1682,6.5156,13.815,-97.8448,-21.3318
2020-02-26,7.3,7.46,7.21,7.21,92461064.0,7.586,7.858,8.2045,-0.85,-0.9,13.384,8.6733,16.1214,-100.0,-19.621
2020-02-25,7.68,7.68,7.22,7.23,108818217.0,7.744,7.947,8.2925,-0.87,-1.02,13.9128,8.8775,16.3296,-99.505,-18.6727
2020-02-24,7.7,7.7197,7.55,7.57,109885240.0,7.91,8.03,8.3755,-0.68,-0.74,19.3614,13.3189,20.4451,-98.8166,-15.8889
2020-02-21,8.02,8.03,7.89,7.89,58296111.0,8.016,8.084,8.447,-0.35,-1.29,28.7982,21.9202,26.1258,-100.0,-13.6761
2020-02-20,8.0,8.07,7.99,8.03,52299986.0,8.088,8.12,8.5095,-0.07,-0.95,32.8522,28.6706,29.402,-96.8,-12.3362
2020-02-19,8.06,8.1,8.0,8.0,64234326.0,8.13,8.148,8.566,-0.06,-0.82,31.309,24.5198,27.6191,-100.0,-13.1379
2020-02-18,8.12,8.1499,8.02,8.06,65063386.0,8.15,8.266,8.6265,-0.05,-0.78,34.2462,27.1533,28.9599,-96.748,-12.0087
